time_s,slip_prob,original_force,corrected_force,pid_output,error
42,0,0.92,0.92,0,0.5
43.94736842,0,0.915263158,0.915263158,0,0.5
45.89473684,0,0.910526316,0.910526316,0,0.5
47.84210526,0,0.905789474,0.905789474,0,0.5
49.78947368,0,0.901052632,0.901052632,0,0.5
51.73684211,0,0.896315789,0.896315789,0,0.5
53.68421053,0,0.891578947,0.891578947,0,0.5
55.63157895,0,0.886842105,0.886842105,0,0.5
57.57894737,0,0.882105263,0.882105263,0,0.5
59.52631579,0,0.877368421,0.877368421,0,0.5
61.47368421,0,0.872631579,0.872631579,0,0.5
63.42105263,0,0.867894737,0.867894737,0,0.5
65.36842105,0,0.863157895,0.863157895,0,0.5
67.31578947,0.1,0.858421053,0.858421053,0,0.4
69.26315789,0.225,0.853684211,0.853684211,0,0.275
71.21052632,0.35,0.848947368,0.848947368,0,0.15
73.15789474,0.475,0.844210526,0.844210526,0,0.025
75.10526316,0.6,0.839473684,-0.240536316,-1.08001,-0.1
77.05263158,0.725,0.834736842,-0.595295658,-1.4300325,-0.225
79,0.85,0.83,-0.7000675,-1.5300675,-0.35
